Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14
0,0,0,0,0,0.12325612933833036,0,0,0,0,0,0.84260298599331163,0,0.025807542261633631,0
0,0,0,0,0.75900458638353518,0,0.02136607376928213,0.025313734005067427,0.14194889690352555,0,0,0.046306095131264047,0,0,0
0.075713184354319882,0,0.023515205863981609,0,0,0,0,0,0,0.40237258075052429,0,0,0,0.48456252260454707,0
0.075809252542173772,0,0,0.13375543886851962,0,0,0,0.15655575489405554,0,0.091651236386951676,0,0.49941606417634293,0,0.038702659119618649,0
0,0,0,0,0.036204676095327265,0,0,0,0,0.53172750604851038,0,0.42030310005083132,0,0,0
0.063223278567643842,0,0,0,0.13731921051171558,0.071707472274630063,0,0,0,0.30357132433984757,0,0,0.31090533307693441,0,0.099637003024431542
0,0,0,0,0,0.47703387815151727,0,0,0,0.30529169035059489,0,0,0.20228979271696221,0,0
0,0.1356426470338479,0,0.34988524981482561,0.12339382761252107,0.078386563571897938,0,0,0.30158058771802926,0,0,0,0,0,0
0,0.38320981103011942,0,0,0,0.016498866281979073,0.08987343215450147,0,0.50349964047337004,0,0,0,0,0,0
0.10952968343420248,0,0,0,0,0.090092677991679471,0,0.040533816732266963,0,0.40211844512394396,0,0.34746895866894756,0,0,0
0.51404563293490857,0,0,0,0,0,0.17351485177784576,0,0,0.14500222269756108,0,0,0,0,0.14761744866112181
0.096534696058459962,0,0.11410550782302034,0,0.09086049604440824,0,0,0,0,0,0,0,0.69233682195482826,0,0
0,0.17549400068248355,0,0.18362149156696495,0,0,0,0,0,0.25363403036098514,0.073191955508572951,0,0,0.30193729013362064,0
0,0,0,0.14402190865552336,0,0,0,0,0,0.30974774203576416,0,0,0.1941704509540981,0.078798836947988476,0.26233208604524444
0.30007843498643894,0.17467104335432621,0.022587900047857948,0.15674559589486958,0,0,0,0,0.17556163752738674,0,0,0,0.16447302441950315,0,0
0,0,0,0,0,0.30725107172458888,0,0.14963810329375032,0,0.13374690458642952,0.051678490627162815,0.27490090571435094,0,0.077124140455048687,0
0,0,0,0.092643506707567227,0,0,0.039175260330240179,0.1871741930155672,0.10955392706797222,0.15675135724739656,0,0.35643067169607406,0,0.051767012336290476,0
0.16169136396542136,0,0.10529962676196665,0.069277392062408807,0,0.059383644218235887,0,0,0,0.43266469507425487,0,0.11669666841174806,0,0,0.046097705580578893
0,0,0,0.027887646573246529,0,0,0,0.30870256275542002,0.1582649214509313,0.20891191630740574,0.079191533394553371,0.11547466760459468,0,0.093485931863803814,0
0,0,0,0,0,0.20173087522478411,0.46161970149862624,0,0,0,0.082297142957905689,0,0,0.18663807213582925,0.052562664705085554
0.029584027720039128,0.11794539647559525,0,0,0,0.13149050490575767,0,0.051488633917692976,0.032600490856244883,0.06905970369502247,0,0.016436218591507755,0.32508487642467443,0,0.22403741642901762
0.32734216361873031,0,0,0.11366294038671501,0,0,0,0,0,0.17299155489531362,0,0.31113984667670602,0.067617113378874924,0,0
0,0,0.050611781344557863,0,0.33389271620186284,0.18863109552197069,0,0,0.086380765258677245,0,0,0.3295546606385692,0,0,0
0,0,0,0,0,0,0,0,0,0.21086569901772453,0,0.78256863057402193,0,0,0
0,0,0,0,0.042807843372964741,0.18107736101940036,0,0,0.26603518013575678,0,0.034709073072769756,0.25272532819139137,0.21382166987698695,0,0
0,0.14620632860506466,0,0,0,0,0,0,0,0.47590425571091549,0,0.36972613970186435,0,0,0
0.42049271098478996,0,0,0,0,0,0,0,0,0.31110990971058361,0,0,0.2541116524880927,0,0
0,0,0,0.11481427292453268,0,0,0.17368101292168914,0,0.45407805523216083,0,0,0,0.065586547203423523,0,0.18408815723079813
0.40183528879865299,0,0,0.12417191327744356,0.023903305531300059,0.082332248841151076,0,0,0,0,0,0.14441343484051802,0.21876364835383461,0,0
0.80025493621922739,0,0,0.12028712554485536,0,0,0.066554704223744959,0,0,0,0,0,0,0,0
0.051123037634895702,0,0,0,0.14396609148617442,0.19670031762071274,0.24060150148172291,0,0,0.12797261010696884,0,0.042878329051537357,0,0.18855296388863188,0
0,0,0,0,0,0,0.041811059776023694,0.46620441847060229,0,0,0,0.36063452478734553,0,0.11970977993698199,0
